"region","assessid","stockid","mgmt","assessor","years","start_year","report_year","assesssource","method","methodshort","methodlong","country","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1","F_type","F_unit","ERbest_ty","ERbest_ty_minus1","ER_ty","ER_ty_minus1","instF_ty","instF_ty_minus1","ERmsybest","ERmsybest_notes","ERmgt","ERmgt_notes","Fmsy","Fmsy_notes","Fmgt","Fmgt_notes","Flim","Flim_notes","TBmsybest","TBmsybest_notes","SSBmsy","SSBmsy_notes","SSBmgt","SSBmgt_notes","OFL_pdf","ty_order","if_diff_5yrs","interval"
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016","HERRVIaVIIbc","ICES","HAWG","1956-2015",1956,2015,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-67bc.pdf","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"updated with corrected natural mortalities by ICES  (2015)",NA,NA,1957,2015,1957,2014,1957,2014,2014,4,2014,2013,"HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016_2014","HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016_2013",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERbest-ratio","ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",NA,NA,NA,NA,410000,NA,410000,"SSBtrigmsy-MT","",11,"N",2
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018","HERRVIaVIIbc","ICES","HAWG","1956-2017",1956,2017,"","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1957,2017,1957,2016,1957,2016,2016,2,2014,2013,"HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018_2014","HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018_2013",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERbest-ratio","ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT","",11,"N",2
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016","HERRVIaVIIbc","ICES","HAWG","1956-2015",1956,2015,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/her-67bc.pdf","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"updated with corrected natural mortalities by ICES  (2015)",NA,NA,1957,2015,1957,2014,1957,2014,2014,4,2014,2013,"HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016_2014","HAWG-HERRVIaVIIbc-1956-2015-ICESIMP2016_2013",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERbest-ratio","ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",NA,NA,NA,NA,410000,NA,410000,"SSBtrigmsy-MT","",12,"N",3
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018","HERRVIaVIIbc","ICES","HAWG","1956-2018",1956,2018,"","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",999,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1957,2018,1957,2017,1957,2017,2017,1,2014,2013,"HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018_2014","HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018_2013",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERbest-ratio","ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT","",12,"N",3
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016","HERRVIaVIIbc","ICES","HAWG","1956-2016",1956,2016,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-67bc.pdf","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"updated with corrected natural mortalities by ICES  (2015)",NA,NA,1957,2016,1957,2015,1957,2015,2015,3,2015,2014,"HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016_2015","HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016_2014",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERbest-ratio","ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT","",13,"N",1
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018","HERRVIaVIIbc","ICES","HAWG","1956-2017",1956,2017,"","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1957,2017,1957,2016,1957,2016,2016,2,2015,2014,"HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018_2015","HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018_2014",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERbest-ratio","ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT","",13,"N",1
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016","HERRVIaVIIbc","ICES","HAWG","1956-2016",1956,2016,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/her-67bc.pdf","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"updated with corrected natural mortalities by ICES  (2015)",NA,NA,1957,2016,1957,2015,1957,2015,2015,3,2015,2014,"HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016_2015","HAWG-HERRVIaVIIbc-1956-2016-ICESIMP2016_2014",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERbest-ratio","ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT","",14,"N",2
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018","HERRVIaVIIbc","ICES","HAWG","1956-2018",1956,2018,"","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",999,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1957,2018,1957,2017,1957,2017,2017,1,2015,2014,"HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018_2015","HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018_2014",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERbest-ratio","ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT","",14,"N",2
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018","HERRVIaVIIbc","ICES","HAWG","1956-2017",1956,2017,"","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1957,2017,1957,2016,1957,2016,2016,2,2016,2015,"HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018_2016","HAWG-HERRVIaVIIbc-1956-2017-ICESIMP2018_2015",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERbest-ratio","ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT","",15,"N",1
"Europe (EU)","HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018","HERRVIaVIIbc","ICES","HAWG","1956-2018",1956,2018,"","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","ICES 5a-7bc","multinational-ICES-VIa-VIIb-VIIc","Herring ICES 5a-7bc","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","Herring",999,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1957,2018,1957,2017,1957,2017,2017,1,2016,2015,"HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018_2016","HAWG-HERRVIaVIIbc-1956-2018-ICESIMP2018_2015",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERbest-ratio","ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,"",0.16,"Fmsy-1/yr",0.3,"",NA,NA,410000,NA,410000,"SSBtrigmsy-MT","",15,"N",1
"Europe (EU)","HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2013",1974,2013,"http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/spr-nsea_201305211647.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2013,1974,2012,1974,2012,2012,6,2012,2011,"HAWG-SPRATNS-1974-2013-ICESIMP2016_2012","HAWG-SPRATNS-1974-2013-ICESIMP2016_2011",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",1,"N",1
"Europe (EU)","HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2014",1974,2014,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/spr-nsea.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2014,1974,2013,1974,2013,2013,5,2012,2011,"HAWG-SPRATNS-1974-2014-ICESIMP2016_2012","HAWG-SPRATNS-1974-2014-ICESIMP2016_2011",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"",1.2,"Fmsy-1/yr",NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",1,"N",1
"Europe (EU)","HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2013",1974,2013,"http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/spr-nsea_201305211647.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2013,1974,2012,1974,2012,2012,6,2012,2011,"HAWG-SPRATNS-1974-2013-ICESIMP2016_2012","HAWG-SPRATNS-1974-2013-ICESIMP2016_2011",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",2,"N",2
"Europe (EU)","HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2015",1974,2015,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/spr-nsea.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2015,1974,2014,1974,2014,2014,4,2012,2011,"HAWG-SPRATNS-1974-2015-ICESIMP2016_2012","HAWG-SPRATNS-1974-2015-ICESIMP2016_2011",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,"",0.7,"Fmsy-1/yr",NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",2,"N",2
"Europe (EU)","HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2013",1974,2013,"http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/spr-nsea_201305211647.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2013,1974,2012,1974,2012,2012,6,2012,2011,"HAWG-SPRATNS-1974-2013-ICESIMP2016_2012","HAWG-SPRATNS-1974-2013-ICESIMP2016_2011",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",3,"N",3
"Europe (EU)","HAWG-SPRATNS-1974-2016-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2016",1974,2016,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/spr-nsea.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2016,1974,2015,1974,2015,2015,3,2012,2011,"HAWG-SPRATNS-1974-2016-ICESIMP2016_2012","HAWG-SPRATNS-1974-2016-ICESIMP2016_2011",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",3,"N",3
"Europe (EU)","HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2013",1974,2013,"http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/spr-nsea_201305211647.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2013,1974,2012,1974,2012,2012,6,2012,2011,"HAWG-SPRATNS-1974-2013-ICESIMP2016_2012","HAWG-SPRATNS-1974-2013-ICESIMP2016_2011",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",4,"N",4
"Europe (EU)","HAWG-SPRATNS-1974-2017-ICESIMP2018","SPRATNS","ICES","HAWG","1974-2017",1974,2017,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/spr.27.4.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Unknown","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1974,2017,1974,2016,1974,2016,2016,2,2012,2011,"HAWG-SPRATNS-1974-2017-ICESIMP2018_2012","HAWG-SPRATNS-1974-2017-ICESIMP2018_2011",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,"Fcap",NA,NA,NA,NA,NA,NA,142000,NA,142000,"SSBpa-MT",NA,4,"N",4
"Europe (EU)","HAWG-SPRATNS-1974-2013-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2013",1974,2013,"http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2013/2013/spr-nsea_201305211647.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2013,1974,2012,1974,2012,2012,6,2012,2011,"HAWG-SPRATNS-1974-2013-ICESIMP2016_2012","HAWG-SPRATNS-1974-2013-ICESIMP2016_2011",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",5,"N",5
"Europe (EU)","HAWG-SPRATNS-1974-2018-ICESIMP2018","SPRATNS","ICES","HAWG","1974-2018",1974,2018,"","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Unknown","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",999,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1974,2018,1974,2017,1974,2017,2017,1,2012,2011,"HAWG-SPRATNS-1974-2018-ICESIMP2018_2012","HAWG-SPRATNS-1974-2018-ICESIMP2018_2011",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,"Fcap",NA,NA,NA,NA,NA,NA,142000,NA,142000,"SSBpa-MT",NA,5,"N",5
"Europe (EU)","HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2014",1974,2014,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/spr-nsea.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2014,1974,2013,1974,2013,2013,5,2013,2012,"HAWG-SPRATNS-1974-2014-ICESIMP2016_2013","HAWG-SPRATNS-1974-2014-ICESIMP2016_2012",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"",1.2,"Fmsy-1/yr",NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",6,"N",1
"Europe (EU)","HAWG-SPRATNS-1974-2015-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2015",1974,2015,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/spr-nsea.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2015,1974,2014,1974,2014,2014,4,2013,2012,"HAWG-SPRATNS-1974-2015-ICESIMP2016_2013","HAWG-SPRATNS-1974-2015-ICESIMP2016_2012",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,"",0.7,"Fmsy-1/yr",NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",6,"N",1
"Europe (EU)","HAWG-SPRATNS-1974-2014-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2014",1974,2014,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2014/2014/spr-nsea.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2014,1974,2013,1974,2013,2013,5,2013,2012,"HAWG-SPRATNS-1974-2014-ICESIMP2016_2013","HAWG-SPRATNS-1974-2014-ICESIMP2016_2012",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"",1.2,"Fmsy-1/yr",NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",7,"N",2
"Europe (EU)","HAWG-SPRATNS-1974-2016-ICESIMP2016","SPRATNS","ICES","HAWG","1974-2016",1974,2016,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/spr-nsea.pdf","Age-based analytical assessment (Stochastic Multispecies Model)","Unknown","Age-based analytical assessment (Stochastic Multispecies Model)","multinational","North Sea","multinational-ICES-IV","Sprat North Sea","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","Sprat",0,"Current","Denmark",27,"Imported from ICES data dump covering 2011-2016",NA,NA,"Natural mortalities from multispecies model ",NA,NA,1974,2016,1974,2015,1974,2015,2015,3,2013,2012,"HAWG-SPRATNS-1974-2016-ICESIMP2016_2013","HAWG-SPRATNS-1974-2016-ICESIMP2016_2012",NA,NA,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-1/yr","1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,142000,NA,142000,"SSBtrigmsy-MT","",7,"N",2
