"region","assessid","stockid","mgmt","assessor","years","start_year","report_year","assesssource","method","methodshort","methodlong","country","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","assess_if_mostrecent","state_of_stock","primary_country","primary_FAOarea","assess_notes","M","M_year","M_notes","M_source","M_source_notes","B_start","B_end","F_start","F_end","C_start","C_end","terminal_year","assess_order","ty","ty_minus1","key_ty","key_ty_minus1","B_ty","B_ty_minus1","B_type","B_unit","TBbest_ty","TBbest_ty_minus1","TB_ty","TB_ty_minus1","TN_ty","TN_ty_minus1","SSB_ty","SSB_ty_minus1","SSB_E00eggs_ty","SSB_E00eggs_ty_minus1","F_ty","F_ty_minus1","F_type","F_unit","ERbest_ty","ERbest_ty_minus1","ER_ty","ER_ty_minus1","instF_ty","instF_ty_minus1","ERmsybest","ERmsybest_notes","ERmgt","ERmgt_notes","Fmsy","Fmsy_notes","Fmgt","Fmgt_notes","Flim","Flim_notes","TBmsybest","TBmsybest_notes","SSBmsy","SSBmsy_notes","SSBmgt","SSBmgt_notes","OFL_pdf","ty_order","if_diff_5yrs","interval"
"Atlantic Ocean","ICCAT-ATBTUNAWATL-1950-2015-PONS","ATBTUNAWATL","ICCAT","ICCAT","1950-2015",1950,2015,"http://www.iccat.es/Documents/CVSP/CV071_2015/n_2/CV071020692.pdf","VPA","VPA","Virtual Population Analysis","multinational","Western Atlantic","multinational-ICCAT-WATL","Atlantic bluefin tuna Western Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna",0,"Current","USA",21,"data available at: http://rscloud.iccat.int/kobe/Inputs/bftw/2014/vpa/cont/bevholt/",NA,NA,NA,NA,NA,1970,2012,1970,2012,1950,2015,2012,2.5,2012,2011,"ICCAT-ATBTUNAWATL-1950-2015-PONS_2012","ICCAT-ATBTUNAWATL-1950-2015-PONS_2011",29900,27800,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,29900,27800,NA,NA,0.071,0.0769,"F-1/yr","1/yr",NA,NA,NA,NA,0.071,0.0769,NA,NA,NA,NA,0.08,"",0.08,"Fmsy-1/yr",NA,NA,NA,NA,62443.2,"",62443.2,"SSBmsy-MT",NA,1,"N",0
"Atlantic Ocean","ICCAT-ATBTUNAWATL-1970-2013-SISIMP2016","ATBTUNAWATL","ICCAT","ICCAT","1970-2013",1970,2013,"","VPA","VPA","Virtual Population Analysis","multinational","Western Atlantic","multinational-ICCAT-WATL","Atlantic bluefin tuna Western Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna",0,"Current","USA",21,"Imported from SIS data dump received 2016",NA,NA,NA,NA,NA,1970,2013,1970,2013,1970,2012,2012,2.5,2012,2011,"ICCAT-ATBTUNAWATL-1970-2013-SISIMP2016_2012","ICCAT-ATBTUNAWATL-1970-2013-SISIMP2016_2011",28300,26600,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,28300,26600,NA,NA,0.077,0.081,"F-1/yr","1/yr",NA,NA,NA,NA,0.077,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"N",0
"Atlantic Ocean","ICCAT-ATBTUNAWATL-1950-2015-PONS","ATBTUNAWATL","ICCAT","ICCAT","1950-2015",1950,2015,"http://www.iccat.es/Documents/CVSP/CV071_2015/n_2/CV071020692.pdf","VPA","VPA","Virtual Population Analysis","multinational","Western Atlantic","multinational-ICCAT-WATL","Atlantic bluefin tuna Western Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna",0,"Current","USA",21,"data available at: http://rscloud.iccat.int/kobe/Inputs/bftw/2014/vpa/cont/bevholt/",NA,NA,NA,NA,NA,1970,2012,1970,2012,1950,2015,2012,2.5,2012,2011,"ICCAT-ATBTUNAWATL-1950-2015-PONS_2012","ICCAT-ATBTUNAWATL-1950-2015-PONS_2011",29900,27800,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,29900,27800,NA,NA,0.071,0.0769,"F-1/yr","1/yr",NA,NA,NA,NA,0.071,0.0769,NA,NA,NA,NA,0.08,"",0.08,"Fmsy-1/yr",NA,NA,NA,NA,62443.2,"",62443.2,"SSBmsy-MT",NA,2,"N",3
"Atlantic Ocean","ICCAT-ATBTUNAWATL-1951-2016-PONS","ATBTUNAWATL","ICCAT","ICCAT","1951-2016",1951,2016,"http://iccat.es/Documents/Meetings/Docs/2017_BFT_ASS_REP_ENG.pdf","VPA","VPA","Virtual Population Analysis","multinational","Western Atlantic","multinational-ICCAT-WATL","Atlantic bluefin tuna Western Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna",999,"Current","USA",21,"NULL",NA,NA,NA,NA,NA,1974,2015,1974,2015,1951,2016,2015,1,2012,2011,"ICCAT-ATBTUNAWATL-1951-2016-PONS_2012","ICCAT-ATBTUNAWATL-1951-2016-PONS_2011",13500,11800,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,13500,11800,NA,NA,0.102,0.141,"F-1/yr","1/yr",NA,NA,NA,NA,0.102,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"N",3
"Atlantic Ocean","ICCAT-ATBTUNAWATL-1951-2016-PONS","ATBTUNAWATL","ICCAT","ICCAT","1951-2016",1951,2016,"http://iccat.es/Documents/Meetings/Docs/2017_BFT_ASS_REP_ENG.pdf","VPA","VPA","Virtual Population Analysis","multinational","Western Atlantic","multinational-ICCAT-WATL","Atlantic bluefin tuna Western Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna",999,"Current","USA",21,"NULL",NA,NA,NA,NA,NA,1974,2015,1974,2015,1951,2016,2015,1,2012,2011,"ICCAT-ATBTUNAWATL-1951-2016-PONS_2012","ICCAT-ATBTUNAWATL-1951-2016-PONS_2011",13500,11800,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,13500,11800,NA,NA,0.102,0.141,"F-1/yr","1/yr",NA,NA,NA,NA,0.102,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"N",3
"Atlantic Ocean","ICCAT-ATBTUNAWATL-1970-2013-SISIMP2016","ATBTUNAWATL","ICCAT","ICCAT","1970-2013",1970,2013,"","VPA","VPA","Virtual Population Analysis","multinational","Western Atlantic","multinational-ICCAT-WATL","Atlantic bluefin tuna Western Atlantic","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna",0,"Current","USA",21,"Imported from SIS data dump received 2016",NA,NA,NA,NA,NA,1970,2013,1970,2013,1970,2012,2012,2.5,2012,2011,"ICCAT-ATBTUNAWATL-1970-2013-SISIMP2016_2012","ICCAT-ATBTUNAWATL-1970-2013-SISIMP2016_2011",28300,26600,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,28300,26600,NA,NA,0.077,0.081,"F-1/yr","1/yr",NA,NA,NA,NA,0.077,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"N",3
"Europe (EU)","WGCSE-PLAICIS-1980-2017-ICESIMP2018","PLAICIS","ICES","WGCSE","1980-2017",1980,2017,"http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ple.27.7a.pdf","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","Irish Sea","multinational-ICES-VIIa","European plaice Irish Sea","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa","European plaice",0,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,"constant over years and different across ages ",NA,NA,1981,2017,1981,2016,1981,2016,2016,2,2010,2009,"WGCSE-PLAICIS-1980-2017-ICESIMP2018_2010","WGCSE-PLAICIS-1980-2017-ICESIMP2018_2009",9080,9100,"SSB-MT","MT",13900,12400,13900,12400,NA,NA,9080,9100,NA,NA,0.211510791366906,0.128225806451613,"ERbest-ratio","ratio",0.211510791366906,0.128225806451613,NA,NA,0.194,0.124,NA,NA,NA,NA,0.169,"",0.164565,"Fmsy-1/yr",0.4805195,"",NA,NA,10392,NA,10392.1,"SSBtrigmsy-MT","",1,"Y",6
"Europe (EU)","WGNSDS-PLAICIS-1992-2010-NEUBAUER","PLAICIS","ICES","WGNSDS","1992-2010",1992,2010,"http://www.ices.dk/reports/ACOM/2011/WGCSE/06.7_Plaice%20VIIa.pdf","Statistical catch at age model","SCA","Statistical catch-at-age model","multinational","Irish Sea","multinational-ICES-VIIa","European plaice Irish Sea","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa","European plaice",0,"Current","Great Britain",27,"NULL","0.12","NULL","",NA,NA,1993,2010,1993,2010,1992,2010,2010,6,2010,2009,"WGNSDS-PLAICIS-1992-2010-NEUBAUER_2010","WGNSDS-PLAICIS-1992-2010-NEUBAUER_2009",24100,24000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,24100,24000,NA,NA,0.0522,0.0305,"ERbest-ratio","ratio",0.0522,0.0305,0.0522,0.0305,0.147,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Y",6
"Europe (EU)","WGCSE-PLAICIS-1980-2018-ICESIMP2018","PLAICIS","ICES","WGCSE","1980-2018",1980,2018,"","Age-based analytical assessment (SAM)","Unknown","Age-based analytical assessment (SAM)","multinational","Irish Sea","multinational-ICES-VIIa","European plaice Irish Sea","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa","European plaice",999,"Current","Great Britain",27,"Imported from ICES data dump covering 2011-2018",NA,NA,NA,NA,NA,1981,2018,1981,2017,1981,2017,2017,1,2010,2009,"WGCSE-PLAICIS-1980-2018-ICESIMP2018_2010","WGCSE-PLAICIS-1980-2018-ICESIMP2018_2009",9010,9070,"SSB-MT","MT",13800,12300,13800,12300,NA,NA,9010,9070,NA,NA,0.21304347826087,0.129268292682927,"ERbest-ratio","ratio",0.21304347826087,0.129268292682927,NA,NA,0.199,0.124,NA,NA,NA,NA,0.1694,"",0.169369,"Fmsy-1/yr",0.4805195,"",NA,NA,10392,NA,10392,"SSBtrigmsy-MT","",2,"Y",7
"Europe (EU)","WGNSDS-PLAICIS-1992-2010-NEUBAUER","PLAICIS","ICES","WGNSDS","1992-2010",1992,2010,"http://www.ices.dk/reports/ACOM/2011/WGCSE/06.7_Plaice%20VIIa.pdf","Statistical catch at age model","SCA","Statistical catch-at-age model","multinational","Irish Sea","multinational-ICES-VIIa","European plaice Irish Sea","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa","European plaice",0,"Current","Great Britain",27,"NULL","0.12","NULL","",NA,NA,1993,2010,1993,2010,1992,2010,2010,6,2010,2009,"WGNSDS-PLAICIS-1992-2010-NEUBAUER_2010","WGNSDS-PLAICIS-1992-2010-NEUBAUER_2009",24100,24000,"SSB-MT","MT",NA,NA,NA,NA,NA,NA,24100,24000,NA,NA,0.0522,0.0305,"ERbest-ratio","ratio",0.0522,0.0305,0.0522,0.0305,0.147,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Y",7
